Repo,V2_Normal Total (s),V2_Avg Cpu,V2_Max Cpu,V2_Median Cpu,V2_Avg Mem,V2_Max Mem,V2_Median Mem,V2_Analysis Total (s),V2_Analysis Database (s),V2_Analysis Query (s),V2_Analysis Decode (s),V2_# Code Files,V2_# Code Lines,V2_# Result Processes,V2_# Result Dataflows
akkadotnet-akkanet,,104.865233011123,947.3,117.8,2196.10275761185,4264.211,2117.875,8207.84,390.075,7803.337,1.682,798,133167,1107,1185480
alexandermenze-master-thesis-customer-portal,,180.543671501499,809.8,213.85,1546.24429746374,3154.586,1325.879,162.89,71.891,82.328,0.598,92,2794,43,483
app-vnext-polly,,149.474619702056,759.4,154.25,1641.70020879668,4167.062,1235.1405,400.97,302.816,89.386,0.618,416,20886,261,11357
dotnet-efcore,,,,,,,,,855.057,,,2678,273417,,
dotnet-orleans,,,,,,,,,481.975,,,1561,129492,,
fluentvalidation-fluentvalidation,,224.824188146945,774.3,237.3,1958.15809676274,4400.492,1828.336,180.3,96.037,78.484,0.584,140,6709,56,1652
grandnode-grandnode2,,97.9719417655181,961,0,3424.54921645846,4451.898,4443.52,1453.53,555.67,874.868,1.086,3057,165112,1885,421287
jellyfin-jellyfin,,131.064698961645,977.4,160.3,3802.16235366199,4582.91,4169.73,1180.64,306.31,860.105,1.445,1602,135400,603,919211
masstransit-masstransit,,99.8234830150041,962.1,0,2469.5908756276,5463.656,2380.996,3476.6,688.767,2760.321,0.933,4408,197415,1023,209610
michaco-dnsclient,,184.99232183063,857.4,222.7,1469.72700376786,2983.914,1279.16,159.89,79.434,75.785,0.565,87,7373,28,1440
nats-io-nats-net,,100.703382551288,771.5,0,1477.67705943423,3542.934,1006.766,375.15,265.512,99.177,0.69,299,22037,175,32877
npgsql-npgsql,,129.823108891355,898.9,195.4,2299.38520152917,3085.055,2677.914,458.96,110.679,341.372,0.868,336,41536,372,168582
particular-nservicebus,,196.490941339009,694.8,238.2,1477.06432496919,3758.812,1086.703,158.7,64.39,88.593,0.658,631,25123,190,7523
piranhacms-piranhacore,,148.679219074702,855.2,166.8,1569.24404788727,3727.125,1276.344,474.79,345.579,112.2,0.645,720,102803,435,19759
restsharp-restsharp,,160.415323410656,706.4,179.5,1517.62971621408,3263.027,1196.4845,215.92,122.215,84.345,0.57,117,4588,33,417
serilog-serilog,,215.731876091647,725.7,241,1867.63098438303,3917.953,1863.004,128.92,44.518,79.918,0.576,106,6726,90,2577
simplcommerce-simplcommerce,,211.561206220026,820.5,228,1942.83194454294,3918.324,1819.398,353.71,233.894,99.89,0.633,794,46702,390,7832
